"date_sold","region","suburb","property_type","price","weekly_household","estimated_annual_household","affordability_ratio","km_from_cbd","num_bed","num_bath","num_parking","property_size"
"13/2/16","Inner West","Leichhardt","House","1600000","2673","138996","11.51","5.31","4","1","0","177"
"18/2/16","CBD & Inner City","Ultimo","House","2300000","1805","93860","24.5","1.9","4","2","0","134"
"18/2/16","Inner West","Leichhardt","House","1500000","2673","138996","10.79","5.31","4","2","0","177"
"19/2/16","Inner West","Leichhardt","House","1265000","2673","138996","9.1","5.31","3","1","0","220"
"20/2/16","Inner West","Burwood","House","1340000","1671","86892","15.42","9.9","2","1","2","273"
"26/2/16","Inner South","Mascot","House","1230000","2254","117208","10.49","9.35","3","2","2","266"
"27/2/16","Inner West","Leichhardt","House","1800000","2673","138996","12.95","5.31","3","2","1","348"
"27/2/16","Inner West","Leichhardt","House","1160000","2673","138996","8.35","5.31","3","1","0","186"
"27/2/16","Inner West","Leichhardt","House","1085000","2673","138996","7.81","5.31","2","1","1","209"
"27/2/16","Inner West","Leichhardt","House","925000","2673","138996","6.65","5.31","2","1","0","139"
"29/2/16","Inner South","Alexandria","House","1100000","2654","138008","7.97","5.06","2","1","1","112"
"29/2/16","Inner South","Zetland","Apartment / Unit / Flat","755000","2192","113984","6.62","4.72","1","1","1","59"
"17/3/16","Inner South","Mascot","House","1105000","2254","117208","9.43","9.35","3","1","0","253"
"18/3/16","Inner South","Alexandria","House","1800000","2654","138008","13.04","5.06","3","2","2","145"
"19/3/16","Eastern Suburbs","Bondi Junction","House","2418000","2379","123708","19.55","4.85","3","2","0","205"
"19/3/16","Inner South","Mascot","House","1219000","2254","117208","10.4","9.35","3","2","1","251"
"30/3/16","Inner South","Alexandria","Apartment / Unit / Flat","900000","2654","138008","6.52","5.06","2","1","1","603"
"17/4/16","Eastern Suburbs","Bondi Junction","House","1840000","2379","123708","14.87","4.85","3","1","0","264"
"16/5/16","Eastern Suburbs","Bondi","Apartment / Unit / Flat","1010000","2546","132392","7.63","6.13","2","1","1","81"
"28/5/16","North Shore","Eastwood","House","1650000","1945","101140","16.31","14.34","3","2","1","556"
"28/5/16","North Shore","Eastwood","House","1265000","1945","101140","12.51","14.34","5","1","1","664"
"15/6/16","Eastern Suburbs","Bondi","House","2650000","2546","132392","20.02","6.13","4","2","2","400"
"16/7/16","North Shore","St Leonards","Apartment / Unit / Flat","695000","2475","128700","5.4","5","1","1","0","55"
"10/10/16","North Shore","North Sydney","Apartment / Unit / Flat","800000","2405","125060","6.4","3.16","2","1","1","86"
"12/10/16","South / St George","Arncliffe","House","1425000","2046","106392","13.39","10.09","3","2","1","241"
"21/10/16","Inner South","Waterloo","House","3100000","2028","105456","29.4","3.91","4","3","1","455"
"21/10/16","Western Sydney","Rhodes","Apartment / Unit / Flat","935000","2183","113516","8.24","11.87","2","2","1","110"
"29/10/16","South / St George","Arncliffe","House","1600000","2046","106392","15.04","10.09","3","2","3","697"
"24/11/16","CBD & Inner City","Sydney","Apartment / Unit / Flat","4150000","2227","115804","35.84","0.31","3","2","2","186"
